Profile_scaled_periphery_data,Prh_Sc_O_SADR010324.jpg,Prh_Sc_O_SADR010493.jpg,Prh_Sc_O_SADR010555.jpg,Prh_Sc_O_SADR010557.jpg,Prh_Sc_O_SADR010560.jpg,Prh_Sc_O_SADR010568.jpg,Prh_Sc_O_SADR010571.jpg,Prh_Sc_O_SADR010595.jpg,Prh_Sc_O_SADR010597.jpg,Prh_Sc_O_SADR010600.jpg,Prh_Sc_O_SADR010606.jpg,Prh_Sc_O_SADR010608.jpg,Prh_Sc_O_SADR010688.jpg,Prh_Sc_O_SADR010771.jpg,Prh_Sc_O_SADR010891.jpg,Prh_Sc_O_SADR010901.jpg,Prh_Sc_O_SADR010903.jpg,Prh_Sc_O_SADR010907.jpg,Prh_Sc_O_SADR010911.jpg,Prh_Sc_O_SADR010985.jpg,Prh_Sc_O_SADR010987.jpg,Prh_Sc_O_SADR010988.jpg,Prh_Sc_O_SADR010990.jpg,Prh_Sc_O_SADR010991.jpg,Prh_Sc_O_SADR010993.jpg,Prh_Sc_O_SADR011004.jpg,Prh_Sc_O_SADR011075.jpg,Prh_Sc_O_SADR011076.jpg,Prh_Sc_O_SADR011077.jpg,Prh_Sc_O_SADR011090.jpg,Prh_Sc_O_SADR011104.jpg,Prh_Sc_O_SADR011135.jpg,Prh_Sc_O_SADR011296.jpg,Prh_Sc_O_SADR011508.jpg,Prh_Sc_O_SADR011815.jpg,Prh_Sc_O_SADR011829.jpg,Prh_Sc_O_SADR011830.jpg,Prh_Sc_O_SADR011831.jpg,Prh_Sc_O_SADR011834.jpg,Prh_Sc_O_SADR011835.jpg,Prh_Sc_O_SADR020634.jpg,Prh_Sc_O_SADR020702.jpg,Prh_Sc_O_SADR020704.jpg,Prh_Sc_O_SADR020738.jpg,Prh_Sc_O_SADR020749.jpg,Prh_Sc_O_SADR020865.jpg,Prh_Sc_O_SADR020881.jpg,Prh_Sc_O_SADR020923.jpg,Prh_Sc_O_SADR020945.jpg,Prh_Sc_O_SADR020952.jpg,Prh_Sc_O_SADR020953.jpg,Prh_Sc_O_SADR020954.jpg,Prh_Sc_O_SADR020963.jpg,Prh_Sc_O_SADR020966.jpg,Prh_Sc_O_SADR020971.jpg,Prh_Sc_O_SADR020974.jpg,Prh_Sc_O_SADR020976.jpg,Prh_Sc_O_SADR020994.jpg,Prh_Sc_O_SADR021073.jpg,Prh_Sc_O_SADR021088.jpg,Prh_Sc_O_SADR021090.jpg,Prh_Sc_O_SADR021098.jpg,Prh_Sc_O_SADR021137.jpg,Prh_Sc_O_SADR021195.jpg,Prh_Sc_O_SADR021208.jpg,Prh_Sc_O_SADR021282.jpg,Prh_Sc_O_SADR021398.jpg,Prh_Sc_O_SADR021423.jpg,Prh_Sc_O_SADR021441.jpg,Prh_Sc_O_SADR021525.jpg,Prh_Sc_O_SADR021628.jpg,Prh_Sc_O_SADR021655.jpg,Prh_Sc_O_SADR021656.jpg,Prh_Sc_O_SADR021658.jpg,Prh_Sc_O_SADR021663.jpg,Prh_Sc_O_SADR021664.jpg,Prh_Sc_O_SADR021666.jpg,Prh_Sc_O_SADR021670.jpg,Prh_Sc_O_SADR021680.jpg,Prh_Sc_O_SADR021802.jpg,Prh_Sc_O_SADR021834.jpg,Prh_Sc_O_SADR021843.jpg,Prh_Sc_O_SADR021848.jpg
1,-36,-49,-34,-18,-28,-53,-39,-19,-39,-56,-27,-43,-23,-31,-57,-39,-21,-43,-37,-54,-45,-32,-55,-67,-36,-32,-33,-30,-25,-35,-51,-43,-39,-44,-17,-21,-32,-29,-25,-39,-22,-35,-42,-33,-38,-25,-28,-50,-38,-44,-47,-53,-41,-49,-41,-42,-29,-18,-13,-23,-25,-29,-15,-30,2,-21,-45,-28,-25,-50,-37,-51,-19,-21,-18,-23,-17,-36,-25,-6,-15,-27,0
2,-36,-49,-34,-18,-28,-53,-39,-19,-39,-56,-27,-43,-23,-31,-57,-39,-21,-43,-37,-54,-45,-32,-55,-67,-36,-32,-33,-30,-25,-35,-51,-43,-39,-44,-17,-21,-32,-29,-25,-39,-22,-35,-42,-33,-38,-25,-28,-50,-38,-44,-47,-53,-41,-49,-41,-42,-29,-18,-13,-23,-25,-29,-15,-30,2,-21,-45,-28,-25,-50,-37,-51,-19,-21,-18,-23,-17,-36,-25,-6,-15,-27,0
3,-36,-49,-34,-18,-28,-53,-39,-19,-39,-56,-28,-43,-23,-32,-57,-39,-21,-43,-37,-54,-45,-32,-55,-67,-36,-32,-33,-30,-25,-35,-51,-43,-39,-44,-17,-21,-32,-29,-25,-39,-22,-35,-42,-33,-37,-25,-28,-50,-38,-44,-47,-53,-41,-49,-41,-42,-29,-19,-14,-23,-25,-29,-16,-30,2,-21,-45,-28,-25,-50,-37,-50,-19,-21,-18,-23,-17,-36,-25,-6,-15,-27,0
4,-36,-49,-34,-18,-29,-53,-39,-19,-39,-56,-29,-43,-24,-33,-57,-39,-21,-43,-37,-54,-45,-32,-54,-67,-36,-32,-33,-30,-26,-35,-51,-43,-38,-44,-17,-21,-32,-29,-25,-39,-23,-35,-42,-33,-36,-25,-28,-50,-38,-44,-47,-53,-41,-49,-41,-42,-29,-20,-15,-23,-26,-29,-18,-30,2,-21,-45,-28,-25,-50,-37,-49,-19,-21,-18,-23,-17,-36,-25,-6,-15,-27,0
5,-36,-53,-34,-18,-30,-53,-42,-19,-39,-56,-31,-44,-25,-35,-57,-39,-21,-43,-37,-54,-44,-32,-52,-67,-36,-32,-33,-30,-26,-35,-51,-43,-37,-44,-17,-21,-32,-29,-25,-39,-25,-35,-42,-33,-35,-25,-28,-50,-38,-44,-47,-53,-41,-49,-41,-42,-29,-21,-16,-23,-29,-29,-19,-30,2,-21,-45,-28,-25,-50,-37,-49,-19,-21,-18,-23,-17,-36,-25,-6,-15,-27,0
6,-35,-53,-34,-18,-30,-53,-42,-19,-39,-56,-31,-45,-28,-35,-57,-39,-21,-43,-37,-54,-43,-32,-51,-67,-36,-32,-33,-30,-28,-35,-51,-43,-36,-44,-17,-21,-32,-29,-25,-39,-25,-35,-42,-33,-35,-25,-28,-50,-38,-44,-47,-53,-41,-49,-41,-42,-29,-21,-17,-23,-29,-29,-19,-30,1,-21,-45,-28,-25,-50,-37,-49,-19,-21,-18,-23,-19,-36,-25,-6,-15,-27,0
7,-35,-53,-34,-18,-30,-53,-42,-19,-39,-56,-31,-48,-28,-35,-57,-39,-21,-43,-37,-54,-43,-32,-51,-66,-36,-32,-33,-30,-31,-35,-51,-43,-35,-44,-17,-21,-32,-29,-25,-39,-25,-35,-42,-33,-35,-25,-28,-50,-38,-44,-47,-53,-41,-49,-41,-42,-30,-21,-17,-23,-29,-29,-19,-30,-1,-21,-45,-28,-25,-50,-37,-49,-19,-21,-18,-23,-19,-36,-27,-6,-15,-27,0
8,-35,-53,-34,-18,-31,-53,-42,-19,-39,-55,-31,-48,-28,-35,-57,-39,-21,-43,-37,-54,-43,-32,-51,-64,-36,-32,-33,-30,-31,-35,-51,-43,-35,-44,-17,-21,-32,-29,-25,-39,-25,-35,-42,-33,-35,-25,-28,-50,-38,-44,-47,-53,-41,-49,-41,-42,-31,-21,-17,-23,-29,-29,-19,-30,-1,-21,-45,-28,-25,-50,-37,-49,-19,-21,-19,-23,-19,-36,-27,-6,-15,-27,0
9,-35,-53,-34,-18,-32,-53,-42,-19,-39,-53,-31,-48,-28,-35,-57,-39,-21,-43,-37,-53,-43,-30,-51,-63,-36,-32,-33,-30,-31,-35,-51,-43,-35,-44,-17,-21,-32,-29,-25,-39,-25,-35,-41,-33,-35,-25,-28,-50,-38,-44,-47,-53,-41,-47,-41,-42,-32,-21,-17,-23,-29,-29,-19,-30,-1,-21,-45,-28,-25,-50,-37,-48,-19,-21,-19,-23,-19,-36,-27,-6,-15,-27,0
10,-35,-53,-34,-18,-32,-53,-42,-19,-39,-52,-31,-48,-28,-35,-57,-38,-21,-43,-37,-52,-43,-29,-51,-63,-36,-32,-33,-30,-31,-35,-51,-43,-35,-44,-17,-21,-32,-29,-27,-39,-25,-35,-39,-33,-35,-25,-28,-50,-38,-43,-47,-53,-41,-47,-41,-42,-32,-21,-17,-24,-29,-29,-19,-30,-1,-22,-45,-28,-25,-50,-36,-47,-19,-21,-19,-23,-19,-35,-27,-7,-15,-27,0
